units,hidden_activations,activation,loss,optimizer,batch_size,accuracy,accuracy %,val_accuracy,val_accuracy%
120,relu,softmax,mse,adam,1000,0.6816,68.16,0.3424,34.24
120,relu,softmax,mse,adam,2000,0.5835,58.35,0.3457,34.57
120,relu,softmax,mse,adagrad,1000,0.4567,45.67,0.3378,33.78
120,relu,softmax,mse,adagrad,2000,0.4296,42.96,0.3334,33.34
120,relu,softmax,categorical_crossentropy,adam,1000,0.6825,68.25,0.3269,32.69
120,relu,softmax,categorical_crossentropy,adam,2000,0.561,56.1,0.3478,34.78
120,relu,softmax,categorical_crossentropy,adagrad,1000,0.4174,41.74,0.3425,34.25
120,relu,softmax,categorical_crossentropy,adagrad,2000,0.3991,39.91,0.3437,34.37
120,relu,sigmoid,mse,adam,1000,0.517,51.7,0.3377,33.77
120,relu,sigmoid,mse,adam,2000,0.0402,4.02,0.0391,3.91
120,relu,sigmoid,mse,adagrad,1000,0.4249,42.49,0.3493,34.93
120,relu,sigmoid,mse,adagrad,2000,0.408,40.8,0.3395,33.95
120,relu,sigmoid,categorical_crossentropy,adam,1000,0.6499,64.99,0.3402,34.02
120,relu,sigmoid,categorical_crossentropy,adam,2000,0.553,55.3,0.3546,35.46
120,relu,sigmoid,categorical_crossentropy,adagrad,1000,0.4281,42.81,0.3447,34.47
120,relu,sigmoid,categorical_crossentropy,adagrad,2000,0.4057,40.57,0.3447,34.47
120,sigmoid,softmax,mse,adam,1000,0.3548,35.48,0.2204,22.04
120,sigmoid,softmax,mse,adam,2000,0.2494,24.94,0.1837,18.37
120,sigmoid,softmax,mse,adagrad,1000,0.2457,24.57,0.1995,19.95
120,sigmoid,softmax,mse,adagrad,2000,0.2002,20.02,0.1627,16.27
120,sigmoid,softmax,categorical_crossentropy,adam,1000,0.3398,33.98,0.2079,20.79
120,sigmoid,softmax,categorical_crossentropy,adam,2000,0.2702,27.02,0.1839,18.39
120,sigmoid,softmax,categorical_crossentropy,adagrad,1000,0.2223,22.23,0.1872,18.72
120,sigmoid,softmax,categorical_crossentropy,adagrad,2000,0.1972,19.72,0.1728,17.28
120,sigmoid,sigmoid,mse,adam,1000,0.1883,18.83,0.1752,17.52
120,sigmoid,sigmoid,mse,adam,2000,0.05,5,0.05,5
120,sigmoid,sigmoid,mse,adagrad,1000,0.05,5,0.05,5
120,sigmoid,sigmoid,mse,adagrad,2000,0.05,5,0.05,5
120,sigmoid,sigmoid,categorical_crossentropy,adam,1000,0.3682,36.82,0.2221,22.21
120,sigmoid,sigmoid,categorical_crossentropy,adam,2000,0.2388,23.88,0.1807,18.07
120,sigmoid,sigmoid,categorical_crossentropy,adagrad,1000,0.2103,21.03,0.1724,17.24
120,sigmoid,sigmoid,categorical_crossentropy,adagrad,2000,0.2411,24.11,0.2084,20.84
240,relu,softmax,mse,adam,1000,0.8609,86.09,0.3408,34.08
240,relu,softmax,mse,adam,2000,0.8147,81.47,0.3481,34.81
240,relu,softmax,mse,adagrad,1000,0.5936,59.36,0.348,34.8
240,relu,softmax,mse,adagrad,2000,0.5296,52.96,0.3466,34.66
240,relu,softmax,categorical_crossentropy,adam,1000,0.9891,98.91,0.3382,33.82
240,relu,softmax,categorical_crossentropy,adam,2000,0.9135,91.35,0.3454,34.54
240,relu,softmax,categorical_crossentropy,adagrad,1000,0.5585,55.85,0.3528,35.28
240,relu,softmax,categorical_crossentropy,adagrad,2000,0.515,51.5,0.3527,35.27
240,relu,sigmoid,mse,adam,1000,0.0537,5.37,0.0533,5.33
240,relu,sigmoid,mse,adam,2000,0.0495,4.95,0.0493,4.93
240,relu,sigmoid,mse,adagrad,1000,0.0507,5.07,0.0506,5.06
240,relu,sigmoid,mse,adagrad,2000,0.0475,4.75,0.0466,4.66
240,relu,sigmoid,categorical_crossentropy,adam,1000,0.9936,99.36,0.3407,34.07
240,relu,sigmoid,categorical_crossentropy,adam,2000,0.8514,85.14,0.3425,34.25
240,relu,sigmoid,categorical_crossentropy,adagrad,1000,0.5492,54.92,0.3448,34.48
240,relu,sigmoid,categorical_crossentropy,adagrad,2000,0.5096,50.96,0.3644,36.44
240,sigmoid,softmax,mse,adam,1000,0.4747,47.47,0.2699,26.99
240,sigmoid,softmax,mse,adam,2000,0.4187,41.87,0.2578,25.78
240,sigmoid,softmax,mse,adagrad,1000,0.2935,29.35,0.2336,23.36
240,sigmoid,softmax,mse,adagrad,2000,0.3056,30.56,0.2539,25.39
240,sigmoid,softmax,categorical_crossentropy,adam,1000,0.4734,47.34,0.2481,24.81
240,sigmoid,softmax,categorical_crossentropy,adam,2000,0.4044,40.44,0.2199,21.99
240,sigmoid,softmax,categorical_crossentropy,adagrad,1000,0.3099,30.99,0.2366,23.66
240,sigmoid,softmax,categorical_crossentropy,adagrad,2000,0.2818,28.18,0.2408,24.08
240,sigmoid,sigmoid,mse,adam,1000,0.2737,27.37,0.2325,23.25
240,sigmoid,sigmoid,mse,adam,2000,0.05,5,0.05,5
240,sigmoid,sigmoid,mse,adagrad,1000,0.2093,20.93,0.1798,17.98
240,sigmoid,sigmoid,mse,adagrad,2000,0.1135,11.35,0.111,11.1
240,sigmoid,sigmoid,categorical_crossentropy,adam,1000,0.4857,48.57,0.2424,24.24
240,sigmoid,sigmoid,categorical_crossentropy,adam,2000,0.4289,42.89,0.2356,23.56
240,sigmoid,sigmoid,categorical_crossentropy,adagrad,1000,0.283,28.3,0.2247,22.47
240,sigmoid,sigmoid,categorical_crossentropy,adagrad,2000,0.2743,27.43,0.2349,23.49
